Id|PersonId|Achievements|PartTime|LastModified|Created|Status
1|1|Maestro en Administración de Negocios de la Escuela de Postgrado Neumann, Licenciado en Administración de Empresas de la Universidad Católica de Santa María|f|2018-07-12 23:10:34.373434|2018-07-12 23:10:34.373434|t
2|2|Maestría en Contabilidad: Auditoría en el Escuela de Posgrado de la Universidad Nacional Jorge Basadre Grohmann, Contador Público con mención en Auditoría de la Universidad Privada de Tacna|f|2018-07-12 23:10:34.374557|2018-07-12 23:10:34.374557|t
3|3|Maestro en Administración de Negocios de la Escuela de Postgrado Neumann, Ingeniero Comercial de la Universidad Privada de Tacna|f|2018-07-12 23:10:34.375343|2018-07-12 23:10:34.375343|t
4|4|Contador Público Colegiado de la Universidad Nacional Jorge Basadre Grohmann, Magister en Dirección y Gestión de Empresas de la Universidad de Tarapacá – Chile|f|2018-07-12 23:10:34.376106|2018-07-12 23:10:34.376106|t
5|5|Maestro en Administración de Negocios de la Escuela de Postgrado Neumann, Maestría en Administración y Gestión Estratégica con mención en Comercio Exterior en la Escuela de Postgrado de la UJCM, Economista de la Universidad Nacional de San Agustín de Arequipa|f|2018-07-12 23:10:34.377159|2018-07-12 23:10:34.377159|t
6|6|Master en Comercio Internacional de la Escuela Europea de Dirección y Empresa – EUDE, Maestría en Dirección Estratégica de la Universidad Científica del Sur, Ingeniero Comercial con mención en Economía por la Universidad Católica de Santa María|f|2018-07-12 23:10:34.378125|2018-07-12 23:10:34.378125|t
7|7|Maestro en Administración de Negocios de la Escuela de Postgrado Neumann Business School, Ingeniera Comercial de la Universidad de Tarapacá – Chile|f|2018-07-12 23:10:34.38019|2018-07-12 23:10:34.38019|t
8|8|Maestro en Administración de Negocios de la Escuela de Postgrado Neumann Business School, Contador Público con Mención en Auditoría de la Universidad Privada de Tacna|f|2018-07-12 23:10:34.38534|2018-07-12 23:10:34.38534|t
9|9|Maestro en Dirección y Gestión de Empresas de la Universidad de Tarapacá – Chile, Licenciado en Comunicación Social  en la especialidad de Periodismo y Relaciones Públicas de la Universidad Nacional Jorge Basadre Grohmann|f|2018-07-12 23:10:34.386203|2018-07-12 23:10:34.386203|t
10|10|Master en Gerencia Pública de la EUCIM Business School – Madrid España, Maestría en Gerencia Pública por la Escuela de Postgrado de la Universidad San Martin de Porres, Economista de la Universidad Nacional de San Agustín de Arequipa|f|2018-07-12 23:10:34.387147|2018-07-12 23:10:34.387147|t
11|11|Contador Público de la Universidad Alas Peruanas|f|2018-07-12 23:10:34.388201|2018-07-12 23:10:34.388201|t
12|12|Abogado de la Universidad Privada de Tacna|f|2018-07-12 23:10:34.389003|2018-07-12 23:10:34.389003|t
13|13|Maestro en Administración de Negocios de la Escuela de Postgrado Neumann Business School, Magister en Gestión de Personas y Administración del Talento de la Universidad de Tarapacá – Chile, Ingeniero en Administración de Empresas de la Universidad de Tarapacá – Chile|t|2018-07-12 23:10:34.389816|2018-07-12 23:10:34.389816|t
14|14|Maestría en Gestión de Tecnologías de la Información de la Escuela de Postgrado Neumann, Ingeniero de Sistemas de la Universidad Privada de Tacna|t|2018-07-12 23:10:34.390668|2018-07-12 23:10:34.390668|t
15|15|Doctorado en Ciencias Contables y Financieras  de la Escuela de Posgrado de la Universidad Nacional Jorge Basadre Grohman, Maestro en Administración de Negocios de la Escuela de Postgrado Neumann Business School, Maestro en Contabilidad: Auditoría en el Escuela de Posgrado de la Universidad Nacional Jorge Basadre Grohmann, Ingeniero Comercial de la Universidad de Tarapacá – Chile, Contador Público con mención en Auditoría de la Universidad Privada de Tacna|t|2018-07-12 23:10:34.391451|2018-07-12 23:10:34.391451|t
16|16|Maestro en Administración de Negocios de la Escuela de Postgrado Neumann Business School, Maestría en Ingeniería Química con mención en Ingeniería Ambiental de la Escuela de Postgrado de la Universidad Nacional de Trujillo, Ingeniero en Industrias Alimentarias de la Universidad Nacional Jorge Basadre Grohmann|t|2018-07-12 23:10:34.392203|2018-07-12 23:10:34.392203|t
17|17|Magister en Dirección y Gestión de Empresas de la Universidad de Tarapacá – Chile, Maestría en Agronegocios por la Escuela de Postgrado de la Universidad Nacional Agraria la Molina – Lima, Ingeniero en Industrias Alimentarias de la Universidad Nacional Jorge Basadre Grohmann|t|2018-07-12 23:10:34.392995|2018-07-12 23:10:34.392995|t
18|18|Magister en Dirección y Gestión de Empresas de la Universidad de Tarapacá – Chile, Ingeniero en Administración de Empresas de la Universidad de Tarapacá – Chile|t|2018-07-12 23:10:34.394434|2018-07-12 23:10:34.394434|t
19|19|Sin CV|t|2018-07-12 23:10:34.395347|2018-07-12 23:10:34.395347|t
20|20|Magister en Dirección y Gestión de Empresas de la Universidad de Tarapacá – Chile, Ingeniero en Administración de Empresas de la Universidad de Tarapacá – Chile, Ingeniero Comercial de la Universidad Privada de Tacna|t|2018-07-12 23:10:34.396166|2018-07-12 23:10:34.396166|t
21|21|Sin CV|t|2018-07-12 23:10:34.396925|2018-07-12 23:10:34.396925|t
22|22|Sin CV|t|2018-07-12 23:10:34.397687|2018-07-12 23:10:34.397687|t
23|23|Sin CV|t|2018-07-12 23:10:34.398452|2018-07-12 23:10:34.398452|t
